"species" "Lineage_Name" "parasiteGenus" "continent" "country" "Migratory_Status"
"Turdus merula" "GRW06" "Plasmodium" "Oceania" "New Zealand" "Temperate_resident"
"Turdus merula" "GRW06" "Plasmodium" "Oceania" "New Zealand" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Africa" "Morocco" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Europe" "Sweden" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Europe" "Bulgaria" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Asia" "Russia" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Oceania" "New Zealand" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "TURDUS1" "Plasmodium" "Europe" "Sweden" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Africa" "Morocco" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Africa" "Morocco" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Africa" "Morocco" "Temperate_resident"
"Turdus merula" "TUMER02" "Leucocytozoon" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Africa" "Morocco" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Africa" "Morocco" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Europe" "Lithuania" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Africa" "Morocco" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "TUMER08" "Leucocytozoon" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "TURDUS1" "Plasmodium" "Europe" "Sweden" "Temperate_resident"
"Turdus merula" "TUMER02" "Leucocytozoon" "Africa" "Morocco" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Asia" "Armenia" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Asia" "Armenia" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Europe" "Italy" "Temperate_resident"
"Turdus merula" "TUMER05" "Plasmodium" "Africa" "Morocco" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Africa" "Morocco" "Temperate_resident"
"Turdus merula" "TUMER06" "Plasmodium" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Asia" "Iran" "Temperate_resident"
"Turdus merula" "TUMER09" "Leucocytozoon" "Europe" "Lithuania" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Asia" "Russia" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Asia" "Russia" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Asia" "Russia" "Temperate_resident"
