#no	Lineage_Name	Alt_Lineage_Name	parasiteGenus	order	family	genus	species	subspecies	Host_Status	Host_Age	Host_Environment	continent	country	region	site	coordinates	found	tested	Reference_Name	comment
8636	TFUS13	L_TFUS_13 ,L_TFUS_13	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus fuscater	 	Resident	Unknown	Wild	South America	Colombia	 	 	 	 	 	Lotta et al 2016	 
8738	THASAT06	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus fumigatus	 	Resident	Unknown	Wild	South America	Brazil	 	TapajosIL	-04°30.00000', -056°16.00000'	 	 	Fecchio et al 2017a	 
8740	THASAT06	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus fumigatus	 	Resident	Unknown	Wild	South America	Brazil	 	TapajosIL	-04°30.00000', -056°16.00000'	 	 	Fecchio et al 2017a	 
8927	TROAED20	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus nigriceps	 	Resident	Unknown	Wild	South America	Ecuador	 	Podocarpus NP	-04°14.06700', -079°10.39900'	1	12	Moens et al 2016	Numbers positive by microscopy: 0
8928	TROAED20	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus serranus	 	Resident	Unknown	Wild	South America	Ecuador	 	Podocarpus NP	-04°14.06700', -079°10.39900'	1	11	Moens et al 2016	Numbers positive by microscopy: 0
8958	TUAMA01	TUAMA01	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus albicollis	 	 	 	Wild	South America	Brazil	 	Bocaiuva	-17°23.00000', -043°53.00000'	2	 	Lacorte et al 2013	 
8959	TUAMA01	TUAMA01	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus amaurochalinus	 	 	 	Wild	South America	Brazil	 	Salto da Divisa	-15°59.00000', -039°57.00000'	1	 	Lacorte et al 2013	 
8960	TUAMA01	TUAMA01	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus amaurochalinus	 	 	 	Wild	South America	Brazil	 	Bocaiuva	-17°23.00000', -043°53.00000'	1	 	Lacorte et al 2013	 
8961	TUAMA01	TUAMA01	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus amaurochalinus	 	 	 	Wild	South America	Brazil	 	Jequitinhonha	-16°26.00000', -041°00.00000'	1	 	Lacorte et al 2013	 
8962	TUAMA01	TUAMA01	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus amaurochalinus	 	 	 	Wild	South America	Brazil	 	Manga	-14°44.00000', -043°51.00000'	1	 	Lacorte et al 2013	 
8963	TUAMA01	TUAMA01	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus leucomelas	 	 	 	Wild	South America	Brazil	 	Aracruz	-19°49.00000', -040°16.00000'	1	 	Lacorte et al 2013	 
8964	TUAMA01	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus amaurochalinus	 	Resident	Unknown	Wild	South America	Brazil	 	CHU	-12°13.00000', -060°44.00000'	 	 	Fecchio et al 2017a	 
8965	TUAMA01	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus amaurochalinus	 	Resident	Unknown	Wild	South America	Brazil	 	COM	-13°48.00000', -059°41.00000'	 	 	Fecchio et al 2017a	 
8966	TUAMA01	 	Plasmodium	Passeriformes	Turdidae	Turdus	Turdus amaurochalinus	 	Resident	Adult	Wild	South America	Brazil	 	Mata Seca State Park	-14°50.91100', 043°59.29800'	1	9	Ferreira et al 2017	 
8967	TUCAR01	H-LIN3	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus cardis	 	 	 	Wild	Asia	Korea, South	 	 	 	 	 	Ishtiaq et al 2007	 
8968	TUCAR02	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus cardis	 	Migratory	Unknown	Captivity	Asia	Japan	 	Gyotoku Wild Bird Hospital	35°40.10030’, 139°54.94480'	1	1	Inumaru et al 2017	injured and rescued wild birds
8969	TUCHR01	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus chrysolaus	 	 	 	Wild	Asia	Russia	Sakhalinskaya Oblast'	Sakhalin Island	47º04.00000', 142º58.00000'	1	1	Palinauskas et al 2013	 
8970	TUCHR01	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus iliacus	 	 	 	Wild	Asia	Russia	Sverdlovskaya Oblast'	Ural Mountains	57°20.00000', 059°49.00000'	2	4	Palinauskas et al 2013	 
8971	TUCHR01	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus philomelos	 	 	 	Wild	Asia	Russia	Sverdlovskaya Oblast'	Ural Mountains	57°20.00000', 059°49.00000'	2	6	Palinauskas et al 2013	 
